font,ascent-override,descent-override,line-gap-override
"/apache/roboto/static/RobotoCondensed-BoldItalic.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-Italic.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-Light.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-LightItalic.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-Medium.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-MediumItalic.ttf",varies by OS,varies by OS,varies by OS
"/apache/roboto/static/RobotoCondensed-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/robotomono/RobotoMono-Italic[wght].ttf",1.047851563,0.2709960938,0
"/apache/robotomono/RobotoMono[wght].ttf",1.047851563,0.2709960938,0
"/apache/robotoslab/RobotoSlab[wght].ttf",1.047851563,0.2709960938,0
"/apache/rochester/Rochester-Regular.ttf",1.029785156,0.2578125,0
"/apache/rocksalt/RockSalt-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/satisfy/Satisfy-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/schoolbell/Schoolbell-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/slackey/Slackey-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/smokum/Smokum-Regular.ttf",0.9697265625,0.25,0
"/apache/specialelite/SpecialElite-Regular.ttf",0.703125,0.296875,0
"/apache/sunshiney/Sunshiney-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/syncopate/Syncopate-Bold.ttf",varies by OS,varies by OS,varies by OS
"/apache/syncopate/Syncopate-Regular.ttf",varies by OS,varies by OS,varies by OS
"/apache/tinos/Tinos-Bold.ttf",varies by OS,varies by OS,varies by OS
"/apache/tinos/Tinos-BoldItalic.ttf",varies by OS,varies by OS,varies by OS
"/apache/tinos/Tinos-Italic.ttf",varies by OS,varies by OS,varies by OS
